Data,Hora,Valor_LDR,Valor_Umidade
2024-09-21,17:37:34,146,15
2024-09-21,17:37:44,145,15
2024-09-21,17:37:54,144,15
2024-09-21,17:38:04,142,14
2024-09-21,17:38:14,141,15
2024-09-21,17:38:24,139,14
2024-09-21,17:38:34,141,15
2024-09-21,17:38:44,139,15
2024-09-21,17:38:54,134,15
2024-09-21,17:39:04,136,15
2024-09-21,17:39:14,132,15
2024-09-21,17:39:24,130,15
2024-09-21,17:39:34,128,15
2024-09-21,17:39:44,128,14
2024-09-21,17:39:54,127,15
2024-09-21,17:40:04,122,14
2024-09-21,17:40:14,121,14
2024-09-21,17:40:24,119,15
2024-09-21,17:40:34,117,15
2024-09-21,17:40:44,115,15
2024-09-21,17:40:54,114,15
2024-09-21,17:41:04,112,15
2024-09-21,17:41:14,110,15
2024-09-21,17:41:24,110,14
2024-09-21,17:41:34,106,15
2024-09-21,17:41:44,104,14
2024-09-21,17:41:54,103,14
2024-09-21,17:42:04,102,14
2024-09-21,17:42:14,100,14
2024-09-21,17:42:24,98,15
2024-09-21,17:42:34,96,15
2024-09-21,17:42:44,96,15
2024-09-21,17:42:54,93,15
2024-09-21,17:43:04,92,14
2024-09-21,17:43:14,91,14
2024-09-21,17:43:24,88,14
2024-09-21,17:43:34,88,15
2024-09-21,17:43:44,85,14
2024-09-21,17:43:54,84,15
2024-09-21,17:44:04,82,15
2024-09-21,17:44:14,80,15
2024-09-21,17:44:24,79,14
2024-09-21,17:44:34,80,14
2024-09-21,17:44:44,77,14
2024-09-21,17:44:54,75,14
2024-09-21,17:45:04,73,14
2024-09-21,17:45:14,72,14
2024-09-21,17:45:24,72,15
2024-09-21,17:45:34,70,15
2024-09-21,17:45:44,69,14
2024-09-21,17:45:54,67,14
2024-09-21,17:46:04,67,14
2024-09-21,17:46:14,66,15
2024-09-21,17:46:24,65,15
2024-09-21,17:46:34,63,15
2024-09-21,17:46:44,62,15
2024-09-21,17:46:54,61,14
2024-09-21,17:47:04,60,15
2024-09-21,17:47:14,59,15
2024-09-21,17:47:24,57,14
2024-09-21,17:47:34,58,14
2024-09-21,17:47:44,56,14
2024-09-21,17:47:54,55,15
2024-09-21,17:48:04,54,15
2024-09-21,17:48:14,53,14
2024-09-21,17:48:24,52,14
2024-09-21,18:07:37,4,15
2024-09-21,18:07:47,4,15
2024-09-21,18:07:57,4,14
2024-09-21,18:08:07,4,15
2024-09-21,18:08:17,5,15
2024-09-21,18:08:27,4,15
2024-09-21,18:08:37,4,14
2024-09-21,18:08:47,6,15
2024-09-21,18:08:57,6,15
2024-09-21,18:09:07,5,15
2024-09-21,18:09:17,5,15
2024-09-21,18:09:27,4,15
2024-09-21,18:09:37,4,15
2024-09-21,18:09:47,4,15
2024-09-21,18:09:57,4,15
2024-09-21,18:10:07,4,14
2024-09-21,18:10:17,3,14
2024-09-21,18:10:27,4,15
2024-09-21,18:10:37,4,14
2024-09-21,18:10:47,4,14
2024-09-21,18:10:57,3,14
2024-09-21,18:11:07,4,14
2024-09-21,18:11:17,4,14
2024-09-21,18:11:27,4,14
2024-09-21,18:11:37,4,14
2024-09-21,18:11:47,4,15
2024-09-21,18:11:57,4,14
2024-09-21,18:12:08,4,14
2024-09-21,18:12:17,4,14
2024-09-21,18:12:28,4,14
2024-09-21,18:12:38,4,15
2024-09-21,18:12:48,4,14
2024-09-21,18:12:58,4,14
2024-09-21,18:13:08,3,14
2024-09-21,18:13:18,4,15
2024-09-21,18:13:28,3,14
2024-09-21,18:13:38,4,14
2024-09-21,18:13:48,4,14
2024-09-21,18:13:58,3,14
2024-09-21,18:14:08,3,15
2024-09-21,18:14:18,4,14
2024-09-21,18:14:28,3,14
2024-09-21,18:14:38,4,14
2024-09-21,18:14:48,4,14
2024-09-21,18:14:58,3,14
2024-09-21,18:15:08,4,15
2024-09-21,18:15:18,4,14
2024-09-21,18:15:28,4,14
2024-09-21,18:15:38,4,15
2024-09-21,18:15:48,4,14
2024-09-21,18:15:58,3,14
2024-09-21,18:16:08,4,14
